Full Team Name,University,CoverNumber,PomeroyName,TRankName,OldTRankName,UpdatedTRankName,SportsReference,RevisedSportsReference,,
Morehead St Eagles,Morehead St.,,Morehead St.,Morehead St.,Morehead St.,Morehead St.,Morehead State,Morehead State,,1
Morgan St Bears,Morgan St.,,Morgan St.,Morgan St.,Morgan St.,Morgan St.,Morgan State,Morgan State,,1
Mount St Marys Mountaineers,Mount St. Mary%27s,,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's,,1
Murray St Racers,Murray St.,,Murray St. 12,Murray St. 12,Murray St.,Murray St.,Murray State,Murray State,,1
Navy Midshipmen,Navy,,Navy,Navy,Navy,Navy,Navy,Navy,,1
NC State Wolfpack,North Carolina St.,,N.C. State,North Carolina St.,North Carolina St.,North Carolina St.,NC State,NC State,,1
UNC Asheville Bulldogs,UNC Asheville,,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,UNC Asheville,,1
UNC Greensboro Spartans,UNC Greensboro,,UNC Greensboro 13,UNC Greensboro 13,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNC Greensboro,,1
UNC Wilmington Seahawks,UNC Wilmington,,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,UNC Wilmington,,1
Nebraska Cornhuskers,Nebraska,,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,,1
Nebraska Omaha Mavericks,Nebraska Omaha,2546,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Nebraska Omaha,Omaha,Omaha,,1
Nevada Wolf Pack,Nevada,,Nevada 7,Nevada 7,Nevada,Nevada,Nevada,Nevada,,1
New Hampshire Wildcats,New Hampshire,2286,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,,1
NJIT Highlanders,NJIT,,NJIT,NJIT,NJIT,NJIT,NJIT,NJIT,,1
New Mexico Lobos,New Mexico,,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,,1
New Mexico St Aggies,New Mexico St.,,New Mexico St. 12,New Mexico St. 12,New Mexico St.,New Mexico St.,New Mexico State,New Mexico State,,1
New Orleans Privateers,New Orleans,,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,,1
Niagara Purple Eagles,Niagara,,Niagara,Niagara,Niagara,Niagara,Niagara,Niagara,,1
Nicholls State Colonels,Nicholls St.,,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls St.,Nicholls State,Nicholls State,,1
North Carolina AT Aggies,North Carolina A%26T,,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,North Carolina A&T,,1
Norfolk State Spartans,Norfolk St.,,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk St.,Norfolk State,Norfolk State,,1
North Alabama Lions,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,North Alabama,,1
North Carolina Tar Heels,North Carolina,2266,North Carolina 2,North Carolina 2,North Carolina,North Carolina,UNC,North Carolina,,0
North Carolina Central Eagles,North Carolina Central,,North Carolina Central 16,North Carolina Central 16,North Carolina Central,North Carolina Central,North Carolina Central,North Carolina Central,,1
North Dakota Fighting Hawks,North Dakota,,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,North Dakota,,1
North Dakota State Bison,North Dakota St.,,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota St.,North Dakota State,North Dakota State,,1
North Florida Ospreys,North Florida,,North Florida,North Florida,North Florida,North Florida,North Florida,North Florida,,1
North Texas Mean Green,North Texas,,North Texas,North Texas,North Texas,North Texas,North Texas,North Texas,,1
Northeastern Huskies,Northeastern,,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,Northeastern,,1
Northern Arizona Lumberjacks,Northern Arizona,,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,Northern Arizona,,1
Northern Colorado Bears,Northern Colorado,,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,Northern Colorado,,1
Northern Illinois Huskies,Northern Illinois,,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,,1
Northern Iowa Panthers,Northern Iowa,,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,,1
Northern Kentucky Norse,Northern Kentucky,,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,Northern Kentucky,,1
Northwestern Wildcats,Northwestern,,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,,1
Northwestern St Demons,Northwestern St.,2216,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern St.,Northwestern State,Northwestern State,,1
Notre Dame Fighting Irish,Notre Dame,2285,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,Notre Dame,,1
Oakland Golden Grizzlies,Oakland,,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland,,1
Ohio Bobcats,Ohio,,Ohio,Ohio,Ohio,Ohio,Ohio,Ohio,,1
Ohio St Buckeyes,Ohio St.,2500,Ohio St. 5,Ohio St. 5,Ohio St.,Ohio St.,Ohio State,Ohio State,,1
Oklahoma Sooners,Oklahoma,2178,Oklahoma 10,Oklahoma 10,Oklahoma,Oklahoma,Oklahoma,Oklahoma,,1
Oklahoma State Cowboys,Oklahoma St.,2243,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma St.,Oklahoma State,Oklahoma State,,1
Old Dominion Monarchs,Old Dominion,,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion,,1
Oral Roberts Golden Eagles,Oral Roberts,,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,,1
Oregon Ducks,Oregon,,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,,1
Oregon St Beavers,Oregon St.,,Oregon St.,Oregon St.,Oregon St.,Oregon St.,Oregon State,Oregon State,,1
Pacific Tigers,Pacific,,Pacific,Pacific,Pacific,Pacific,Pacific,Pacific,,1
Penn St Nittany Lions,Penn St.,2501,Penn St.,Penn St.,Penn St.,Penn St.,Penn State,Penn State,,1
Pennsylvania Quakers,Penn,,Penn 16,Penn 16,Penn,Penn,Penn,Pennsylvania,,0
Pepperdine Waves,Pepperdine,,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,Pepperdine,,1
Pittsburgh Panthers,Pittsburgh,2279,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pitt,Pittsburgh,,0
Portland Pilots,Portland,,Portland,Portland,Portland,Portland,Portland,Portland,,1
Portland St Vikings,Portland St.,,Portland St.,Portland St.,Portland St.,Portland St.,Portland State,Portland State,,1
Prairie View AM Panthers,Prairie View A%26M,,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View A&M,Prairie View,Prairie View,,1
Presbyterian Blue Hose,Presbyterian,,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,Presbyterian,,1
Princeton Tigers,Princeton,,Princeton,Princeton,Princeton,Princeton,Princeton,Princeton,,1
Providence Friars,Providence,2301,Providence 10,Providence 10,Providence,Providence,Providence,Providence,,1
Purdue Boilermakers,Purdue,2294,Purdue 2,Purdue 2,Purdue,Purdue,Purdue,Purdue,,1
Queens Royals,Queens,,Queens,Queens,Queens,Queens,Queens (NC),Queens (NC),,
Quinnipiac Bobcats,Quinnipiac,,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,,1
Radford Highlanders,Radford,,Radford 16,Radford 16,Radford,Radford,Radford,Radford,,1
Rhode Island Rams,Rhode Island,,Rhode Island 7,Rhode Island 7,Rhode Island,Rhode Island,Rhode Island,Rhode Island,,1
Rice Owls,Rice,,Rice,Rice,Rice,Rice,Rice,Rice,,1
Richmond Spiders,Richmond,,Richmond,Richmond,Richmond,Richmond,Richmond,Richmond,,1
Rider Broncs,Rider,,Rider,Rider,Rider,Rider,Rider,Rider,,1
Robert Morris Colonials,Robert Morris,,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Robert Morris,,1
Rutgers Scarlet Knights,Rutgers,2210,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,,1
Sacramento State Hornets,Sacramento St.,,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento St.,Sacramento State,Sacramento State,,1
Sacred Heart Pioneers,Sacred Heart,,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,,1
Saint Louis Billikens,Saint Louis,,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,Saint Louis,,1
Sam Houston St Bearkats,Sam Houston St.,,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston St.,Sam Houston State,Sam Houston State,,1
Samford Bulldogs,Samford,,Samford,Samford,Samford,Samford,Samford,Samford,,1
San Diego Toreros,San Diego,,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,,1
San Diego St Aztecs,San Diego St.,,San Diego St. 11,San Diego St. 11,San Diego St.,San Diego St.,San Diego State,San Diego State,,1
San Francisco Dons,San Francisco,,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,San Francisco,,1
San Jose St Spartans,San Jose St.,,San Jose St.,San Jose St.,San Jose St.,San Jose St.,San Jose State,San Jose State,,1
Santa Clara Broncos,Santa Clara,,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara,,1
Savannah State Tigers,Savannah St.,,Savannah St.,Savannah St.,Savannah St.,Savannah St.,Savannah St.,Savannah St.,,1
SE Missouri St Redhawks,Southeast Missouri St.,,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri St.,Southeast Missouri State,Southeast Missouri State,,1
Seattle Redhawks,Seattle,,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,,1
Seton Hall Pirates,Seton Hall,2300,Seton Hall 8,Seton Hall 8,Seton Hall,Seton Hall,Seton Hall,Seton Hall,,1
Siena Saints,Siena,,Siena,Siena,Siena,Siena,Siena,Siena,,1
SIU Edwardsville Cougars,SIU Edwardsville,,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,SIU-Edwardsville,SIU Edwardsville,,0
South Alabama Jaguars,South Alabama,,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,South Alabama,,1
South Carolina Gamecocks,South Carolina,,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,South Carolina,,1
South Carolina State Bulldogs,South Carolina St.,,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina St.,South Carolina State,South Carolina State,,1
South Carolina Upstate Spartans,USC Upstate,,USC Upstate,USC Upstate,USC Upstate,USC Upstate,USC Upstate,South Carolina Upstate,,0
South Dakota Coyotes,South Dakota,,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,South Dakota,,1
South Dakota State Jackrabbits,South Dakota St.,,South Dakota St. 12,South Dakota St. 12,South Dakota St.,South Dakota St.,South Dakota State,South Dakota State,,1
South Florida Bulls,South Florida,2510,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,,1
Southeastern Louisiana Lions,Southeastern Louisiana,,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,,1
Southern Jaguars,Southern,,Southern,Southern,Southern,Southern,Southern,Southern,,1
Southern California Trojans,USC,,USC,USC,USC,USC,USC,Southern California,,0
Southern Illinois Salukis,Southern Illinois,,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,Southern Illinois,,1
Southern Indiana Screaming Eagles,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,Southern Indiana,,
Southern Methodist Mustangs,SMU,2349,SMU,SMU,SMU,SMU,SMU,Southern Methodist,,0
Southern Miss Golden Eagles,Southern Miss,,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Miss,Southern Mississippi,,0
Southern Utah Thunderbirds,Southern Utah,,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,Southern Utah,,1
St Bonaventure Bonnies,St. Bonaventure,,St. Bonaventure 11,St. Bonaventure 11,St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure,,1
St Francis PA Red Flash,St. Francis PA,,St. Francis PA,St. Francis PA,St. Francis PA,St. Francis PA,Saint Francis (PA),Saint Francis (PA),,1
St Thomas Mn Tommies,St. Thomas,,St. Thomas,St. Thomas,St. Thomas,St. Thomas,St. Thomas (MN),St. Thomas (MN),,1
St Francis Bkn Terriers,St. Francis NY,,St. Francis NY,St. Francis NY,St. Francis NY,St. Francis NY,St. Francis (NY),St. Francis (NY),,1
St Johns Red Storm,St. John%27s,2442,St. John's,St. John's,St. John's,St. John's,St. John's (NY),St. John's (NY),,1
Saint Josephs Hawks,Saint Joseph%27s,,Saint Joseph's,Saint Joseph's,Saint Joseph's,Saint Joseph's,St. Joseph's,Saint Joseph's,,0
Saint Marys Gaels,Saint Mary%27s,,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's,Saint Mary's (CA),,0
Saint Peters Peacocks,Saint Peter%27s,,Saint Peter's,Saint Peter's,Saint Peter's,Saint Peter's,St. Peter's,Saint Peter's,,0
Stanford Cardinal,Stanford,,Stanford,Stanford,Stanford,Stanford,Stanford,Stanford,,1
Stephen F Austin Lumberjacks,Stephen F. Austin,,Stephen F. Austin 14,Stephen F. Austin 14,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin,,1
Stetson Hatters,Stetson,,Stetson,Stetson,Stetson,Stetson,Stetson,Stetson,,1
Stonehill Skyhawks,Stonehill,,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,Stonehill,,
Stony Brook Seawolves,Stony Brook,2443,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook,,1
Syracuse Orange,Syracuse,2186,Syracuse 11,Syracuse 11,Syracuse,Syracuse,Syracuse,Syracuse,,1
tarleton state texans,Tarleton St.,,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton St.,Tarleton State,Tarleton State,,1
Temple Owls,Temple,2177,Temple,Temple,Temple,Temple,Temple,Temple,,1
Tenn-Martin Skyhawks,Tennessee Martin,,Tennessee Martin,Tennessee Martin,Tennessee Martin,Tennessee Martin,UT-Martin,Tennessee-Martin,,0
Tennessee Volunteers,Tennessee,,Tennessee 3,Tennessee 3,Tennessee,Tennessee,Tennessee,Tennessee,,1
Tennessee St Tigers,Tennessee St.,,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee St.,Tennessee State,Tennessee State,,1
Tennessee Tech Golden Eagles,Tennessee Tech,,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,,1
Texas Longhorns,Texas,2380,Texas 10,Texas 10,Texas,Texas,Texas,Texas,,1
Texas AM Aggies,Texas A%26M,,Texas A&M 7,Texas A&M 7,Texas A&M,Texas A&M,Texas A&M,Texas A&M,,1
Texas AM CC Islanders,Texas A%26M Corpus Chris,,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,,1
Texas AM Commerce Lions,Texas A%26M Commerce,Texas A%26M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M Commerce,Texas A&M-Commerce,Texas A&M-Commerce,,
texas christian horned frogs,TCU,2291,TCU 6,TCU 6,TCU,TCU,TCU,TCU,,1
Texas Rio Grande Valley Vaqueros,UT Rio Grande Valley,,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley,Texas-Rio Grande Valley,Texas-Rio Grande Valley,,1
Texas Southern Tigers,Texas Southern,,Texas Southern 16,Texas Southern 16,Texas Southern,Texas Southern,Texas Southern,Texas Southern,,1
Texas State Bobcats,Texas St.,,Texas St.,Texas St.,Texas St.,Texas St.,Texas State,Texas State,,1
Texas Tech Red Raiders,Texas Tech,2319,Texas Tech 3,Texas Tech 3,Texas Tech,Texas Tech,Texas Tech,Texas Tech,,1
Texas Arlington Mavericks,UT Arlington,,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,UT Arlington,,1
Texas El Paso Miners,UTEP,,UTEP,UTEP,UTEP,UTEP,UTEP,UTEP,,1
Texas San Antonio Roadrunners,UTSA,,UTSA,UTSA,UTSA,UTSA,UTSA,UTSA,,1
The Citadel Bulldogs,The Citadel,,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,The Citadel,,1
Toledo Rockets,Toledo,,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo,,1
Towson Tigers,Towson,,Towson,Towson,Towson,Towson,Towson,Towson,,1
Troy Trojans,Troy,,Troy,Troy,Troy,Troy,Troy,Troy,,1
Tulane Green Wave,Tulane,2367,Tulane,Tulane,Tulane,Tulane,Tulane,Tulane,,1
Tulsa Golden Hurricane,Tulsa,2512,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,Tulsa,,1
UAB Blazers,UAB,,UAB,UAB,UAB,UAB,UAB,UAB,,1
UC Davis Aggies,UC Davis,,UC Davis,UC Davis,UC Davis,UC Davis,UC-Davis,UC Davis,,0
UC Irvine Anteaters,UC Irvine,,UC Irvine,UC Irvine,UC Irvine,UC Irvine,UC-Irvine,UC Irvine,,0
UC San Diego tritons,UC San Diego,,UC San Diego,UC San Diego,UC San Diego,UC San Diego,UC-San Diego,UC San Diego,,0
UC Riverside Highlanders,UC Riverside,,UC Riverside,UC Riverside,UC Riverside,UC Riverside,UC-Riverside,UC Riverside,,0
UC Santa Barbara Gauchos,UC Santa Barbara,,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,UCSB,UC Santa Barbara,,0
UCLA Bruins,UCLA,,UCLA 11,UCLA 11,UCLA,UCLA,UCLA,UCLA,,1
UL Lafayette Ragin Cajuns,Louisiana Lafayette,,Louisiana,Louisiana Lafayette,Louisiana Lafayette,Louisiana Lafayette,Louisiana,Louisiana,,1
Kansas City roos,UMKC,,UMKC,UMKC,UMKC,UMKC,Kansas City,Kansas City,,1
UNLV Rebels,UNLV,,UNLV,UNLV,UNLV,UNLV,UNLV,Nevada-Las Vegas,,0
Utah Utes,Utah,,Utah,Utah,Utah,Utah,Utah,Utah,,1
Utah St Aggies,Utah St.,,Utah St.,Utah St.,Utah St.,Utah St.,Utah State,Utah State,,1
Utah Tech Trailblazers,Utah Tech,,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,Utah Tech,,
Utah Valley Wolverines,Utah Valley,,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,Utah Valley,,1
Valparaiso Beacons,Valparaiso,,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,,1
Vanderbilt Commodores,Vanderbilt,,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,,1
VCU Rams,VCU,,VCU,VCU,VCU,VCU,VCU,Virginia Commonwealth,,0
Vermont Catamounts,Vermont,2314,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,,1
Villanova Wildcats,Villanova,2561,Villanova 1,Villanova 1,Villanova,Villanova,Villanova,Villanova,,1
Virginia Cavaliers,Virginia,2315,Virginia 1,Virginia 1,Virginia,Virginia,Virginia,Virginia,,1
Virginia Tech Hokies,Virginia Tech,2414,Virginia Tech 8,Virginia Tech 8,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,,1
VMI Keydets,VMI,,VMI,VMI,VMI,VMI,VMI,VMI,,1
Wagner Seahawks,Wagner,,Wagner,Wagner,Wagner,Wagner,Wagner,Wagner,,1
Wake Forest Demon Deacons,Wake Forest,2188,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,,1
Washington Huskies,Washington,,Washington,Washington,Washington,Washington,Washington,Washington,,1
Washington St Cougars,Washington St.,,Washington St.,Washington St.,Washington St.,Washington St.,Washington State,Washington State,,1
Weber St Wildcats,Weber St.,,Weber St.,Weber St.,Weber St.,Weber St.,Weber State,Weber State,,1
West Virginia Mountaineers,West Virginia,2283,West Virginia 5,West Virginia 5,West Virginia,West Virginia,West Virginia,West Virginia,,1
Western Carolina Catamounts,Western Carolina,,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,,1
Western Illinois Leathernecks,Western Illinois,,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,,1
Western Kentucky Hilltoppers,Western Kentucky,,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,,1
Western Michigan Broncos,Western Michigan,,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,,1
Wichita St Shockers,Wichita St.,2374,Wichita St. 4,Wichita St. 4,Wichita St.,Wichita St.,Wichita State,Wichita State,,1
William- Mary Tribe,William %26 Mary,,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,,1
Winthrop Eagles,Winthrop,,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,,1
Milwaukee Panthers,Milwaukee,,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,,1
Wisconsin Badgers,Wisconsin,2437,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,,1
Wofford Terriers,Wofford,,Wofford,Wofford,Wofford,Wofford,Wofford,Wofford,,1
Wright St Raiders,Wright St.,,Wright St. 14,Wright St. 14,Wright St.,Wright St.,Wright State,Wright State,,1
Wyoming Cowboys,Wyoming,,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,,1
Xavier Musketeers,Xavier,2390,Xavier 1,Xavier 1,Xavier,Xavier,Xavier,Xavier,,1
Yale Bulldogs,Yale,,Yale,Yale,Yale,Yale,Yale,Yale,,1
Youngstown St Penguins,Youngstown St.,,Youngstown St.,Youngstown St.,Youngstown St.,Youngstown St.,Youngstown State,Youngstown State,,1
